,imdbID,Runtime,Metascore,BoxOffice,imdbRating,imdbVotes,DateID
76,tt2361317,129.0,49.0,10378555.0,6.4,58899.0,77
77,tt0499549,162.0,83.0,785221649.0,7.9,1355823.0,78
78,tt3460252,168.0,68.0,54117416.0,7.8,634201.0,79
79,tt2140479,128.0,51.0,86260045.0,7.3,307947.0,80
80,tt1392214,153.0,70.0,61002302.0,8.1,760761.0,81
81,tt0803096,123.0,32.0,47365290.0,6.7,272197.0,82
82,tt1454029,146.0,62.0,169708112.0,8.1,476661.0,83
83,tt2005151,114.0,57.0,43034523.0,7.1,237164.0,84
84,tt2395427,141.0,66.0,459005868.0,7.3,897327.0,85
85,tt3799694,116.0,70.0,36261763.0,7.4,352176.0,86
86,tt4255304,90.0,62.0,151042.0,5.9,39600.0,87
87,tt4714782,105.0,77.0,1305195.0,6.1,41995.0,88
